Coalition,Size,RecomputedScore,ReferenceScore,ScoreError,RelError
"['Cape Verde', 'Lebanon']",2,8434.072218895713,8434.072218895713,0.0,0.0
"['Afghanistan', 'Estonia']",2,7172.182036174994,7172.182036174994,0.0,0.0
"['Cambodia', 'San Marino']",2,5273.547292066952,5273.547292066952,0.0,0.0
"[""Cote d'Ivoire"", 'Iceland']",2,10741.081216786388,10741.081216786388,0.0,0.0
"['Eritrea', 'Uzbekistan']",2,1755.6541560881155,1755.6541560881155,0.0,0.0
"['Greece', 'Romania']",2,6564.103160542101,6564.103160542101,0.0,0.0
"['Guatemala', 'Monaco']",2,6401.9127576468645,6401.9127576468645,0.0,0.0
"['Equatorial Guinea', 'Malaysia']",2,3304.101259818643,3304.101259818643,0.0,0.0
"['Tunisia', 'Viet Nam']",2,9227.89771153586,9227.89771153586,0.0,0.0
"['Bolivia', 'Togo']",2,10331.22952133976,10331.22952133976,0.0,0.0
"['Equatorial Guinea', 'Oman']",2,3498.8846744230223,3498.8846744230223,0.0,0.0
"['Bulgaria', 'New Zealand']",2,10412.242740782274,10412.242740782274,0.0,0.0
"['Estonia', 'Serbia']",2,5681.997415595357,5681.997415595357,0.0,0.0
"['Austria', 'Croatia']",2,5998.43644992312,5998.43644992312,0.0,0.0
"['Mauritius', 'Monaco']",2,8770.49242735552,8770.49242735552,0.0,0.0
"['Malawi', 'Uzbekistan']",2,2101.05064029962,2101.05064029962,0.0,0.0
"['Grenada', 'Monaco']",2,5554.679406754991,5554.679406754991,0.0,0.0
"['Macedonia', 'Nicaragua']",2,5916.8678306765405,5916.8678306765405,0.0,0.0
"['Ecuador', 'Guyana']",2,9230.93952065783,9230.93952065783,0.0,0.0
"['Bulgaria', 'Thailand']",2,7494.002792503758,7494.002792503758,0.0,0.0
"['Brunei Darussalam', 'Pakistan']",2,3566.7917398294117,3566.791739829412,-4.547473508864641e-13,1.2749478636737368e-16
"['Chad', 'Luxembourg']",2,7810.592654797514,7810.592654797514,0.0,0.0
"['Jamaica', 'Switzerland']",2,9171.856804544912,9171.856804544912,0.0,0.0
"['Oman', 'Tuvalu']",2,3000.4575577841592,3000.4575577841592,0.0,0.0
"['Armenia', 'Estonia']",2,8273.85881232251,8273.85881232251,0.0,0.0
"['Lesotho', 'Viet Nam']",2,6563.836759457664,6563.836759457664,0.0,0.0
"['Oman', 'Spain']",2,9784.18969612542,9784.18969612542,0.0,0.0
"['Bulgaria', 'Swaziland']",2,8033.6162640489865,8033.616264048986,9.094947017729282e-13,1.132111208551226e-16
"['Namibia', 'Tanzania']",2,5434.843420553419,5434.843420553419,0.0,0.0
"['Tonga', 'Zambia']",2,7120.5452162776955,7120.545216277696,-9.094947017729282e-13,1.2772823908116004e-16
"['Central African Republic', 'Montenegro']",2,5642.562032384597,5642.562032384597,0.0,0.0
"['Papua New Guinea', 'Paraguay']",2,8345.044004710788,8345.044004710788,0.0,0.0
"['Cape Verde', 'Honduras']",2,8923.869036502338,8923.869036502338,0.0,0.0
"['Denmark', 'Viet Nam']",2,8482.556900525464,8482.556900525464,0.0,0.0
"['Tanzania', 'Trinidad and Tobago']",2,9403.856346221717,9403.856346221715,1.8189894035458565e-12,1.9343015637161348e-16
"['Niger', 'Seychelles']",2,9165.303487211884,9165.303487211884,0.0,0.0
"['Sao Tome and Principe', 'United Arab Emirates']",2,4137.000000000001,4137.000000000001,0.0,0.0
"['Bahrain', 'Somalia']",2,6450.98597291354,6450.98597291354,0.0,0.0
"['Rwanda', 'Tanzania']",2,8446.030940575332,8446.030940575332,0.0,0.0
"['Denmark', 'Portugal']",2,8442.479298125367,8442.479298125367,0.0,0.0
"['Bhutan', 'Uganda']",2,3408.6359290120336,3408.6359290120336,0.0,0.0
"['Azerbaijan', 'Norway']",2,9546.129351732045,9546.129351732045,0.0,0.0
